reform,decile,people,household_net_income,household_net_income_base,household_net_income_pct_chg,chg,weekly_chg_pp
1: Foundational,0.0,374814.0,1237762655.5451965,0.0,inf,1237762655.5451965,63.506507204250056
1: Foundational,1.0,6169205.0,43897928435.598755,28943657459.118042,0.5166683235386933,14954270976.480713,46.615752623407815
1: Foundational,2.0,6546814.0,56412847432.08594,47076543003.2959,0.19832179325776725,9336304428.79004,27.424685646830653
1: Foundational,3.0,6551578.0,65461543714.78516,59821801901.09863,0.09427569271501582,5639741813.686523,16.554267283412553
1: Foundational,4.0,6546527.0,75962202278.72168,72528898518.59277,0.047337045374386585,3433303760.1289062,10.085511342146955
1: Foundational,5.0,6550328.0,87000269640.16895,84833462555.9043,0.02554189135963591,2166807084.2646484,6.361416864176785
1: Foundational,6.0,6542868.0,95786982762.8081,96576839664.5332,-0.008178533326092715,-789856901.7250977,-2.321543977718292
1: Foundational,7.0,6497087.0,108980159710.75195,112447470471.70117,-0.030834937828341912,-3467310760.9492188,-10.262915225727665
1: Foundational,8.0,6601566.0,124362708011.59961,132232194088.57227,-0.05951263329792053,-7869486076.972656,-22.924298675649478
1: Foundational,9.0,6543741.0,140145979685.56055,150220437012.46875,-0.06706449220402676,-10074457326.908203,-29.606850879184233
1: Foundational,10.0,6554027.0,242121156235.2461,257329922376.82422,-0.059102206230439776,-15208766141.578125,-44.62542982404947
2: Disability,0.0,374814.0,1207186960.8312836,0.0,inf,1207186960.8312836,61.93774475377139
2: Disability,1.0,6169205.0,44192783105.58853,28943657459.118042,0.5268555181047653,15249125646.47049,47.53487949878123
2: Disability,2.0,6546814.0,56566987964.359375,47076543003.2959,0.2015960466850558,9490444961.063477,27.87746176132824
2: Disability,3.0,6551578.0,65917003585.5376,59821801901.09863,0.10188930274143122,6095201684.438965,17.89117324230004
2: Disability,4.0,6546527.0,76991594902.46436,72528898518.59277,0.06152990704426003,4462696383.871582,13.10940660677375
2: Disability,5.0,6550328.0,87565547780.5669,84833462555.9043,0.03220527775654783,2732085224.6625977,8.020987723711047
2: Disability,6.0,6542868.0,95859782150.48047,96576839664.5332,-0.007424735749725159,-717057514.0527344,-2.1075723334074903
2: Disability,7.0,6497087.0,108555272195.27344,112447470471.70117,-0.03461348005518057,-3892198276.4277344,-11.520542491485724
2: Disability,8.0,6601566.0,124046054118.10742,132232194088.57227,-0.06190731407649164,-8186139970.464844,-23.846731012427274
2: Disability,9.0,6543741.0,139641465948.1543,150220437012.46875,-0.0704229815510147,-10578971064.314453,-31.089517637818552
2: Disability,10.0,6554027.0,241414937674.1953,257329922376.82422,-0.06184661525418565,-15914984702.628906,-46.697610206286754
3: Disability + geo,0.0,374814.0,1212624031.0129242,0.0,inf,1212624031.0129242,62.21670723103912
3: Disability + geo,1.0,6169205.0,44161535005.95148,28943657459.118042,0.5257758998954497,15217877546.833435,47.437472297525915
3: Disability + geo,2.0,6546814.0,56637812623.37109,47076543003.2959,0.20310050420239645,9561269620.075195,28.08550382168039
3: Disability + geo,3.0,6551578.0,65890933810.3042,59821801901.09863,0.10145351220345147,6069131909.205566,17.81465094012925
3: Disability + geo,4.0,6546527.0,76978071740.88428,72528898518.59277,0.06134345499747192,4449173222.291504,13.069681604552436
3: Disability + geo,5.0,6550328.0,87576864653.49365,84833462555.9043,0.03233867880591912,2743402097.5893555,8.05421234569462
3: Disability + geo,6.0,6542868.0,95854773495.93164,96576839664.5332,-0.00747659760983806,-722066168.6015625,-2.122293749120776
3: Disability + geo,7.0,6497087.0,108528024803.13281,112447470471.70117,-0.0348557922390503,-3919445668.5683594,-11.601192221187148
3: Disability + geo,8.0,6601566.0,124164443690.89453,132232194088.57227,-0.06101199827535013,-8067750397.677734,-23.50185487946151
3: Disability + geo,9.0,6543741.0,139859061004.70117,150220437012.46875,-0.0689744765348243,-10361376007.767578,-30.450048514849115
3: Disability + geo,10.0,6554027.0,241803683628.28125,257329922376.82422,-0.060335924423926615,-15526238748.542969,-45.556955196409334
