reform,region,in_poverty_bhc,in_poverty_bhc_base,in_poverty_bhc_pct_chg,household_net_income,household_net_income_base,household_net_income_pct_chg
1: Foundational,EAST_MIDLANDS,430635.0,625062.0,-0.31105234360751416,68010753006.784485,67575909673.60596,0.00643488685951601
1: Foundational,EAST_OF_ENGLAND,492499.0,794862.0,-0.3803968487611686,96257280262.08789,96343879064.45898,-0.0008988511072214013
1: Foundational,LONDON,845149.0,1225158.0,-0.310171422787918,156209508739.81885,163020511188.1076,-0.04178003368195561
1: Foundational,NORTHERN_IRELAND,242648.0,336311.0,-0.27850114923389363,24213187209.933594,23333761123.12616,0.03768899845022551
1: Foundational,NORTH_EAST,394834.0,545355.0,-0.27600553767729274,35286975067.776855,34689331508.7807,0.017228454196209487
1: Foundational,NORTH_WEST,933726.0,1355820.0,-0.3113200867371775,100833832775.9679,99491642468.9822,0.013490482955934191
1: Foundational,SCOTLAND,411226.0,601390.0,-0.3162074527344984,43760544087.299805,42458355692.55713,0.030669779210760792
1: Foundational,SOUTH_EAST,643344.0,973363.0,-0.33905028237153045,197738525791.28625,199687400375.2569,-0.00975962719885318
1: Foundational,SOUTH_WEST,529658.0,780745.0,-0.3215992417498671,83422326343.08789,83332891238.43686,0.0010732269494302632
1: Foundational,WALES,587844.0,791669.0,-0.25746239905819224,79302257733.63095,78924491651.47623,0.004786424014270585
1: Foundational,WEST_MIDLANDS,663151.0,1020598.0,-0.3502329026707871,78536106590.20117,76781824242.9978,0.022847625261565113
1: Foundational,YORKSHIRE,678410.0,967844.0,-0.2990502601658945,77798242954.99634,76371228824.32275,0.018685232025743022
2: Disability,EAST_MIDLANDS,381968.0,625062.0,-0.3889118199474612,68010469124.12106,67575909673.60596,0.006430685914759324
2: Disability,EAST_OF_ENGLAND,439925.0,794862.0,-0.44653914767594877,95992267725.82178,96343879064.45898,-0.003649545171437005
2: Disability,LONDON,798171.0,1225158.0,-0.34851586489252817,155691498662.6875,163020511188.1076,-0.04495760976337043
2: Disability,NORTHERN_IRELAND,189294.0,336311.0,-0.43714597500527785,24583232309.895508,23333761123.12616,0.05354778341032186
2: Disability,NORTH_EAST,364801.0,545355.0,-0.3310760880527363,35519034096.795746,34689331508.7807,0.023918091007462266
2: Disability,NORTH_WEST,874350.0,1355820.0,-0.3551135106430057,101232462109.37024,99491642468.9822,0.01749714445543272
2: Disability,SCOTLAND,368928.0,601390.0,-0.386541179600592,44065994137.75586,42458355692.55713,0.0378638884849831
2: Disability,SOUTH_EAST,608164.0,973363.0,-0.37519301637724056,197081469012.1579,199687400375.2569,-0.013050054025451162
2: Disability,SOUTH_WEST,487911.0,780745.0,-0.3750699652255218,83217771729.9773,83332891238.43686,-0.0013814414302532436
2: Disability,WALES,529456.0,791669.0,-0.3312154448386889,79752115937.76382,78924491651.47623,0.010486279594201448
2: Disability,WEST_MIDLANDS,603370.0,1020598.0,-0.4088073854740064,78833303445.63916,76781824242.9978,0.026718292028968617
2: Disability,YORKSHIRE,610388.0,967844.0,-0.36933224775893636,77978998093.57312,76371228824.32275,0.021052028283435487
3: Disability + geo,EAST_MIDLANDS,380277.0,625062.0,-0.3916171515785634,68086037607.08591,67575909673.60596,0.007548961396803772
3: Disability + geo,EAST_OF_ENGLAND,449714.0,794862.0,-0.434223802370726,95767829431.34131,96343879064.45898,-0.005979099437466796
3: Disability + geo,LONDON,692663.0,1225158.0,-0.43463373703636593,158996172957.06348,163020511188.1076,-0.024686085215378132
3: Disability + geo,NORTHERN_IRELAND,208970.0,336311.0,-0.37864060348903245,24232748573.319336,23333761123.12616,0.03852732722553619
3: Disability + geo,NORTH_EAST,353716.0,545355.0,-0.35140229758597613,35702241680.56055,34689331508.7807,0.02919947222169601
3: Disability + geo,NORTH_WEST,910391.0,1355820.0,-0.3285310734463277,100608436326.33118,99491642468.9822,0.01122500171506525
3: Disability + geo,SCOTLAND,390162.0,601390.0,-0.35123297693676314,43641965308.26123,42458355692.55713,0.027876953697280982
3: Disability + geo,SOUTH_EAST,605283.0,973363.0,-0.3781528576697491,197211033154.25946,199687400375.2569,-0.01240121918730873
3: Disability + geo,SOUTH_WEST,494027.0,780745.0,-0.36723642162293707,83025164122.37573,83332891238.43686,-0.0036927449832580535
3: Disability + geo,WALES,552092.0,791669.0,-0.30262268700681727,79293243623.82144,78924491651.47623,0.0046722121945820295
3: Disability + geo,WEST_MIDLANDS,637576.0,1020598.0,-0.3752917407245556,78035116323.1128,76781824242.9978,0.01632277029715513
3: Disability + geo,YORKSHIRE,600885.0,967844.0,-0.37915097887676114,78067839380.42664,76371228824.32275,0.022215310428048845
