reform,decile,household_net_income_pc_group,people,total_people,share_of_decile,order
3: Disability + geo,10.0,Gain more than 5%,505896.0,6554027.0,0.07718857429180563,3
1: Foundational,6.0,Gain more than 5%,2121910.0,6542868.0,0.3243088504918638,3
1: Foundational,8.0,Gain more than 5%,1616221.0,6601566.0,0.24482387966733954,3
3: Disability + geo,8.0,Gain more than 5%,1660831.0,6601566.0,0.2515813672089319,3
1: Foundational,9.0,Gain more than 5%,1673189.0,6543741.0,0.2556930355281482,3
1: Foundational,10.0,Gain more than 5%,554926.0,6554027.0,0.08466947115109535,3
2: Disability,1.0,Gain more than 5%,5674924.0,6169205.0,0.9198793037352463,3
2: Disability,2.0,Gain more than 5%,5096021.0,6546814.0,0.7783970951366573,3
2: Disability,3.0,Gain more than 5%,4367998.0,6551578.0,0.6667093027053941,3
2: Disability,4.0,Gain more than 5%,4251274.0,6546527.0,0.6493937930753207,3
2: Disability,5.0,Gain more than 5%,3501985.0,6550328.0,0.534627426290714,3
2: Disability,6.0,Gain more than 5%,1938517.0,6542868.0,0.2962793991870232,3
2: Disability,7.0,Gain more than 5%,1531680.0,6497087.0,0.235748728622535,3
3: Disability + geo,6.0,Gain more than 5%,1954331.0,6542868.0,0.2986963820758725,3
2: Disability,8.0,Gain more than 5%,1658471.0,6601566.0,0.2512238762742052,3
2: Disability,9.0,Gain more than 5%,1614479.0,6543741.0,0.24672110341775447,3
2: Disability,10.0,Gain more than 5%,549808.0,6554027.0,0.08388857720604447,3
3: Disability + geo,1.0,Gain more than 5%,5679982.0,6169205.0,0.9206991824716475,3
3: Disability + geo,5.0,Gain more than 5%,3403396.0,6550328.0,0.5195764242645559,3
3: Disability + geo,2.0,Gain more than 5%,5100085.0,6546814.0,0.779017855097151,3
3: Disability + geo,3.0,Gain more than 5%,4389838.0,6551578.0,0.6700428507452708,3
1: Foundational,7.0,Gain more than 5%,1575969.0,6497087.0,0.24256547588172978,3
3: Disability + geo,7.0,Gain more than 5%,1525116.0,6497087.0,0.23473842969934064,3
3: Disability + geo,4.0,Gain more than 5%,4275017.0,6546527.0,0.6530206016105944,3
